afcd_code,name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fibre_g_per_100g
F007593,"Quinoa, black, uncooked",347.8,13.1,6.6,50.6,16.1
F007597,"Quinoa, red, uncooked",367.6,14.1,6.9,55.0,13.8
F007599,"Quinoa, white, uncooked",375.7,12.2,6.3,61.8,10.5
F007598,"Quinoa, uncooked",370.5,12.9,6.5,58.6,12.0
F007596,"Quinoa, cooked in water, no added salt",103.3,3.6,1.8,16.3,3.4
F007722,"Rye, grain, whole, uncooked",309.8,11.1,2.6,51.3,17.3
F007724,"Rye, rolled, uncooked",305.4,10.4,2.6,50.8,17.3
F008474,"Sorghum, grain, uncooked",350.1,8.2,3.6,65.8,8.6
F009860,"Teff, uncooked",246.2,13.3,2.4,38.4,8.0
F009260,"Triticale, grain, uncooked",325.3,9.6,2.4,58.3,14.4
F008222,"Semolina, uncooked",310.2,10.7,1.2,61.6,3.2
F008220,"Semolina, boiled, no added fat or salt",98.7,3.4,0.4,19.6,1.0
F008745,"Spelt, uncooked",331.7,11.7,3.0,59.2,8.8
F008744,"Spelt, boiled, no added fat or salt",137.7,4.8,1.2,24.5,3.6
F009090,"Tapioca, pearl or seed style, uncooked",324.8,0.2,0.2,79.3,0.0
F009089,"Tapioca, pearl or seed style, boiled, no added fat or salt",47.1,0.0,0.0,11.5,0.0
